PClass,Age,Sex,Title,Survived
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,1
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,23,female,Mrs,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,female,Mrs,1
3rd,28,male,Nothing,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,female,Mrs,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,female,Mrs,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Nothing,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,1
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,male,Nothing,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,female,Mrs,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,female,Mrs,0
3rd,28,male,Nothing,0
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,female,Mrs,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Nothing,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,female,Miss,0
3rd,28,female,Mrs,0
3rd,28,male,Nothing,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,female,Mrs,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,female,Miss,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,21,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,1.5,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,female,Mrs,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,female,Mrs,0
3rd,28,female,Miss,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,28,female,Mrs,1
3rd,28,male,Nothing,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,female,Mrs,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,25,male,Mr,1
3rd,28,female,Mrs,0
3rd,28,male,Nothing,0
3rd,28,female,Miss,0
3rd,28,male,Mr,0
3rd,18,female,Miss,1
3rd,63,female,Mrs,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Nothing,0
3rd,28,male,Nothing,0
3rd,18,female,Miss,0
3rd,31,male,Mr,0
3rd,31,female,Mrs,0
3rd,15,male,Mr,0
3rd,28,male,Mr,0
3rd,36,male,Mr,0
3rd,28,male,Mr,0
3rd,10,female,Miss,0
3rd,36,male,Mr,0
3rd,30,female,Mrs,0
3rd,22,male,Mr,1
3rd,28,male,Mr,0
3rd,29,male,Mr,0
3rd,47,male,Mr,0
3rd,14,female,Miss,0
3rd,22,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,1
3rd,28,male,Mr,0
3rd,51,male,Mr,0
3rd,18,male,Mr,0
3rd,45,female,Mrs,1
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,28,male,Mr,0
3rd,21,male,Mr,0
3rd,27,male,Mr,0
3rd,28,male,Mr,0
3rd,36,male,Mr,0
3rd,28,male,Mr,1
3rd,27,male,Mr,0
3rd,15,female,Mrs,1
3rd,28,male,Mr,0
3rd,28,female,Miss,0
3rd,28,female,Miss,0
3rd,27,male,Mr,0
3rd,26,male,Mr,0
3rd,22,male,Mr,0
3rd,24,male,Mr,0
3rd,29,male,Nothing,0
